DistrictID,ProvinceID,DistrictName
3432,23,สว่างวีระวงศ์
3433,23,น้ำขุ่น
3501,24,เมืองยโสธร
3502,24,ทรายมูล
3503,24,กุดชุม
3504,24,คำเขื่อนแก้ว
3505,24,ป่าติ้ว
3506,24,มหาชนะชัย
3507,24,ค้อวัง
3508,24,เลิงนกทา
3509,24,ไทยเจริญ
3601,25,เมืองชัยภูมิ
3602,25,บ้านเขว้า
3603,25,คอนสวรรค์
3604,25,เกษตรสมบูรณ์
3605,25,หนองบัวแดง
3606,25,จัตุรัส
3607,25,บำเหน็จณรงค์
3608,25,หนองบัวระเหว
3609,25,เทพสถิต
3610,25,ภูเขียว
3611,25,บ้านแท่น
3612,25,แก้งคร้อ
3613,25,คอนสาร
3614,25,ภักดีชุมพล
3615,25,เนินสง่า
3616,25,ซับใหญ่
3701,26,เมืองอำนาจเจริญ
3702,26,ชานุมาน
3703,26,ปทุมราชวงศา
3704,26,พนา
3705,26,เสนางคนิคม
3706,26,หัวตะพาน
3707,26,ลืออำนาจ
3801,77,เมืองบึงกาฬ
3802,77,เซกา
3803,77,โซ่พิสัย
3804,77,พรเจริญ
3805,77,ศรีวิไล
3806,77,บึงโขงหลง
3807,77,ปากคาด
3808,77,บุ่งคล้า
3901,27,เมืองหนองบัวลำภู
3902,27,นากลาง
3903,27,โนนสัง
3904,27,ศรีบุญเรือง
3905,27,สุวรรณคูหา
3906,27,นาวัง
4001,28,เมืองขอนแก่น
4002,28,บ้านฝาง
4003,28,พระยืน
4004,28,หนองเรือ
4005,28,ชุมแพ
4006,28,สีชมพู
4007,28,น้ำพอง
4008,28,อุบลรัตน์
4009,28,กระนวน
4010,28,บ้านไผ่
4011,28,เปือยน้อย
4012,28,พล
4013,28,แวงใหญ่
4014,28,แวงน้อย
4015,28,หนองสองห้อง
4016,28,ภูเวียง
4017,28,มัญจาคีรี
4018,28,ชนบท
4019,28,เขาสวนกวาง
4020,28,ภูผาม่าน
4021,28,ซำสูง
4022,28,โคกโพธิ์ไชย
4023,28,หนองนาคำ
4024,28,บ้านแฮด
4025,28,โนนศิลา
4029,28,เวียงเก่า
4101,29,เมืองอุดรธานี
4102,29,กุดจับ
4103,29,หนองวัวซอ
4104,29,กุมภวาปี
4105,29,โนนสะอาด
4106,29,หนองหาน
4107,29,ทุ่งฝน
4108,29,ไชยวาน
4109,29,ศรีธาตุ
4110,29,วังสามหมอ
4111,29,บ้านดุง
4117,29,บ้านผือ
4118,29,น้ำโสม
4119,29,เพ็ญ
4120,29,สร้างคอม
4121,29,หนองแสง
4122,29,นายูง
4123,29,พิบูลย์รักษ์
4124,29,กู่แก้ว
4125,29,ประจักษ์ศิลปาคม
4201,30,เมืองเลย
4202,30,นาด้วง
4203,30,เชียงคาน
4204,30,ปากชม
4205,30,ด่านซ้าย
4206,30,นาแห้ว
4207,30,ภูเรือ
4208,30,ท่าลี่
4209,30,วังสะพุง
4210,30,ภูกระดึง
4211,30,ภูหลวง
4212,30,ผาขาว
4213,30,เอราวัณ
4214,30,หนองหิน
4301,31,เมืองหนองคาย
4302,31,ท่าบ่อ
4305,31,โพนพิสัย
4307,31,ศรีเชียงใหม่
4308,31,สังคม
4314,31,สระใคร
4315,31,เฝ้าไร่
4316,31,รัตนวาปี
4317,31,โพธิ์ตาก
4401,32,เมืองมหาสารคาม
4402,32,แกดำ
4403,32,โกสุมพิสัย
4404,32,กันทรวิชัย
4405,32,เชียงยืน
4406,32,บรบือ
4407,32,นาเชือก
4408,32,พยัคฆภูมิพิสัย
4409,32,วาปีปทุม
4410,32,นาดูน
4411,32,ยางสีสุราช
4412,32,กุดรัง
4413,32,ชื่นชม
4501,33,เมืองร้อยเอ็ด
4502,33,เกษตรวิสัย
4503,33,ปทุมรัตต์
4504,33,จตุรพักตรพิมาน
4505,33,ธวัชบุรี
4506,33,พนมไพร
4507,33,โพนทอง
4508,33,โพธิ์ชัย
4509,33,หนองพอก
4510,33,เสลภูมิ
4511,33,สุวรรณภูมิ
4512,33,เมืองสรวง
4513,33,โพนทราย
4514,33,อาจสามารถ
4515,33,เมยวดี
4516,33,ศรีสมเด็จ
4517,33,จังหาร
4518,33,เชียงขวัญ
4519,33,หนองฮี
4520,33,ทุ่งเขาหลวง
4601,34,เมืองกาฬสินธุ์
4602,34,นามน
4603,34,กมลาไสย
4604,34,ร่องคำ
4605,34,กุฉินารายณ์
4606,34,เขาวง
4607,34,ยางตลาด
4608,34,ห้วยเม็ก
4609,34,สหัสขันธ์
4610,34,คำม่วง
4611,34,ท่าคันโท
4612,34,หนองกุงศรี
4613,34,สมเด็จ
4614,34,ห้วยผึ้ง
4615,34,สามชัย
4616,34,นาคู
4617,34,ดอนจาน
4618,34,ฆ้องชัย
4701,35,เมืองสกลนคร
4702,35,กุสุมาลย์
4703,35,กุดบาก
4704,35,พรรณานิคม
4705,35,พังโคน
4706,35,วาริชภูมิ
4707,35,นิคมน้ำอูน
4708,35,วานรนิวาส
4709,35,คำตากล้า
4710,35,บ้านม่วง
4711,35,อากาศอำนวย
4712,35,สว่างแดนดิน
4713,35,ส่องดาว
4714,35,เต่างอย
4715,35,โคกศรีสุพรรณ
4716,35,เจริญศิลป์
4717,35,โพนนาแก้ว
4718,35,ภูพาน
4801,36,เมืองนครพนม
4802,36,ปลาปาก
4803,36,ท่าอุเทน
4804,36,บ้านแพง
4805,36,ธาตุพนม
4806,36,เรณูนคร
4807,36,นาแก
4808,36,ศรีสงคราม
4809,36,นาหว้า
4810,36,โพนสวรรค์
4811,36,นาทม
4812,36,วังยาง
4901,37,เมืองมุกดาหาร
4902,37,นิคมคำสร้อย
4903,37,ดอนตาล
4904,37,ดงหลวง
4905,37,คำชะอี
4906,37,หว้านใหญ่
4907,37,หนองสูง
5001,38,เมืองเชียงใหม่
5002,38,จอมทอง
5003,38,แม่แจ่ม
5004,38,เชียงดาว
5005,38,ดอยสะเก็ด
5006,38,แม่แตง
5007,38,แม่ริม
5008,38,สะเมิง
5009,38,ฝาง
5010,38,แม่อาย
5011,38,พร้าว
5012,38,สันป่าตอง
5013,38,สันกำแพง
5014,38,สันทราย
5015,38,หางดง
5016,38,ฮอด
5017,38,ดอยเต่า
5018,38,อมก๋อย
5019,38,สารภี
5020,38,เวียงแหง
5021,38,ไชยปราการ
5022,38,แม่วาง
5023,38,แม่ออน
5024,38,ดอยหล่อ
5025,38,กัลยาณิวัฒนา
5101,39,เมืองลำพูน
5102,39,แม่ทา
5103,39,บ้านโฮ่ง
5104,39,ลี้
5105,39,ทุ่งหัวช้าง
5106,39,ป่าซาง
5107,39,บ้านธิ
5108,39,เวียงหนองล่อง
5201,40,เมืองลำปาง
5202,40,แม่เมาะ
5203,40,เกาะคา
5204,40,เสริมงาม
5205,40,งาว
5206,40,แจ้ห่ม
5207,40,วังเหนือ
5208,40,เถิน
5209,40,แม่พริก
5210,40,แม่ทะ
5211,40,สบปราบ
5212,40,ห้างฉัตร
5213,40,เมืองปาน
5301,41,เมืองอุตรดิตถ์
5302,41,ตรอน
5303,41,ท่าปลา
5304,41,น้ำปาด
5305,41,ฟากท่า
5306,41,บ้านโคก
5307,41,พิชัย
5308,41,ลับแล
5309,41,ทองแสนขัน
5401,42,เมืองแพร่
5402,42,ร้องกวาง
5403,42,ลอง
5404,42,สูงเม่น
5405,42,เด่นชัย
5406,42,สอง
5407,42,วังชิ้น
5408,42,หนองม่วงไข่
5501,43,เมืองน่าน
5502,43,แม่จริม
5503,43,บ้านหลวง
5504,43,นาน้อย
5505,43,ปัว
5506,43,ท่าวังผา
5507,43,เวียงสา
5508,43,ทุ่งช้าง
5509,43,เชียงกลาง
5510,43,นาหมื่น
5511,43,สันติสุข
5512,43,บ่อเกลือ
5513,43,สองแคว
5514,43,ภูเพียง
5515,43,เฉลิมพระเกียรติ
5601,44,เมืองพะเยา
5602,44,จุน
5603,44,เชียงคำ
5604,44,เชียงม่วน
5605,44,ดอกคำใต้
5606,44,ปง
5607,44,แม่ใจ
5608,44,ภูซาง
5609,44,ภูกามยาว
5701,45,เมืองเชียงราย
5702,45,เวียงชัย
5703,45,เชียงของ
5704,45,เทิง
5705,45,พาน
5706,45,ป่าแดด
5707,45,แม่จัน
5708,45,เชียงแสน
5709,45,แม่สาย
5710,45,แม่สรวย
5711,45,เวียงป่าเป้า
5712,45,พญาเม็งราย
5713,45,เวียงแก่น
5714,45,ขุนตาล
5715,45,แม่ฟ้าหลวง
5716,45,แม่ลาว
5717,45,เวียงเชียงรุ้ง
5718,45,ดอยหลวง
5801,46,เมืองแม่ฮ่องสอน
5802,46,ขุนยวม
5803,46,ปาย
5804,46,แม่สะเรียง
5805,46,แม่ลาน้อย
5806,46,สบเมย
5807,46,ปางมะผ้า
6001,47,เมืองนครสวรรค์
6002,47,โกรกพระ
6003,47,ชุมแสง
6004,47,หนองบัว
6005,47,บรรพตพิสัย
6006,47,เก้าเลี้ยว
6007,47,ตาคลี
6008,47,ท่าตะโก
6009,47,ไพศาลี
6010,47,พยุหะคีรี
6011,47,ลาดยาว
6012,47,ตากฟ้า
6013,47,แม่วงก์
6014,47,แม่เปิน
6015,47,ชุมตาบง
6101,48,เมืองอุทัยธานี
6102,48,ทัพทัน
6103,48,สว่างอารมณ์
6104,48,หนองฉาง
6105,48,หนองขาหย่าง
6106,48,บ้านไร่
6107,48,ลานสัก
6108,48,ห้วยคต
6201,49,เมืองกำแพงเพชร
6202,49,ไทรงาม
6203,49,คลองลาน
6204,49,ขาณุวรลักษบุรี
6205,49,คลองขลุง
6206,49,พรานกระต่าย
6207,49,ลานกระบือ
6208,49,ทรายทองวัฒนา
6209,49,ปางศิลาทอง
6210,49,บึงสามัคคี
6211,49,โกสัมพีนคร
6301,50,เมืองตาก
6302,50,บ้านตาก
6303,50,สามเงา
6304,50,แม่ระมาด
6305,50,ท่าสองยาง
6306,50,แม่สอด
6307,50,พบพระ
6308,50,อุ้มผาง
6309,50,วังเจ้า
6401,51,เมืองสุโขทัย
6402,51,บ้านด่านลานหอย
6403,51,คีรีมาศ
6404,51,กงไกรลาศ
6405,51,ศรีสัชนาลัย
6406,51,ศรีสำโรง
6407,51,สวรรคโลก
6408,51,ศรีนคร
6409,51,ทุ่งเสลี่ยม
6501,52,เมืองพิษณุโลก
6502,52,นครไทย
6503,52,ชาติตระการ
6504,52,บางระกำ
6505,52,บางกระทุ่ม
6506,52,พรหมพิราม
6507,52,วัดโบสถ์
6508,52,วังทอง
6509,52,เนินมะปราง
6601,53,เมืองพิจิตร
6602,53,วังทรายพูน
6603,53,โพธิ์ประทับช้าง
6604,53,ตะพานหิน
6605,53,บางมูลนาก
6606,53,โพทะเล
6607,53,สามง่าม
6608,53,ทับคล้อ
6609,53,สากเหล็ก
6610,53,บึงนาราง
6611,53,ดงเจริญ
6612,53,วชิรบารมี
6701,54,เมืองเพชรบูรณ์
6702,54,ชนแดน
6703,54,หล่มสัก
6704,54,หล่มเก่า
6705,54,วิเชียรบุรี
6706,54,ศรีเทพ
6707,54,หนองไผ่
6708,54,บึงสามพัน
6709,54,น้ำหนาว
6710,54,วังโป่ง
6711,54,เขาค้อ
7001,55,เมืองราชบุรี
7002,55,จอมบึง
7003,55,สวนผึ้ง
7004,55,ดำเนินสะดวก
7005,55,บ้านโป่ง
7006,55,บางแพ
7007,55,โพธาราม
7008,55,ปากท่อ
7009,55,วัดเพลง
7010,55,บ้านคา
7074,55,ท้องถิ่นเทศบาลตำบลบ้านฆ้อง
7101,56,เมืองกาญจนบุรี
7102,56,ไทรโยค
7103,56,บ่อพลอย
7104,56,ศรีสวัสดิ์
7105,56,ท่ามะกา
7106,56,ท่าม่วง
7107,56,ทองผาภูมิ
7108,56,สังขละบุรี
7109,56,พนมทวน
7110,56,เลาขวัญ
7111,56,ด่านมะขามเตี้ย
7112,56,หนองปรือ
7113,56,ห้วยกระเจา
7201,57,เมืองสุพรรณบุรี
7202,57,เดิมบางนางบวช
7203,57,ด่านช้าง
7204,57,บางปลาม้า
7205,57,ศรีประจันต์
7206,57,ดอนเจดีย์
7207,57,สองพี่น้อง
7208,57,สามชุก
7209,57,อู่ทอง
7210,57,หนองหญ้าไซ
7301,58,เมืองนครปฐม
7302,58,กำแพงแสน
7303,58,นครชัยศรี
7304,58,ดอนตูม
7305,58,บางเลน
7306,58,สามพราน
7307,58,พุทธมณฑล
7401,59,เมืองสมุทรสาคร
7402,59,กระทุ่มแบน
7403,59,บ้านแพ้ว
7501,60,เมืองสมุทรสงคราม
7502,60,บางคนที
7503,60,อัมพวา
7601,61,เมืองเพชรบุรี
7602,61,เขาย้อย
7603,61,หนองหญ้าปล้อง
7604,61,ชะอำ
7605,61,ท่ายาง
7606,61,บ้านลาด
7607,61,บ้านแหลม
7608,61,แก่งกระจาน
7701,62,เมืองประจวบคีรีขันธ์
7702,62,กุยบุรี
7703,62,ทับสะแก
7704,62,บางสะพาน
7705,62,บางสะพานน้อย
7706,62,ปราณบุรี
7707,62,หัวหิน
7708,62,สามร้อยยอด
8001,63,เมืองนครศรีธรรมราช
8002,63,พรหมคีรี
8003,63,ลานสกา
8004,63,ฉวาง
8005,63,พิปูน
8006,63,เชียรใหญ่
8007,63,ชะอวด
8008,63,ท่าศาลา
8009,63,ทุ่งสง
8010,63,นาบอน
8011,63,ทุ่งใหญ่
8012,63,ปากพนัง
8013,63,ร่อนพิบูลย์
8014,63,สิชล
8015,63,ขนอม
8016,63,หัวไทร
8017,63,บางขัน
8018,63,ถ้ำพรรณรา
8019,63,จุฬาภรณ์
8020,63,พระพรหม
8021,63,นบพิตำ
8022,63,ช้างกลาง
8023,63,เฉลิมพระเกียรติ
8101,64,เมืองกระบี่
8102,64,เขาพนม
8103,64,เกาะลันตา
8104,64,คลองท่อม
8105,64,อ่าวลึก
8106,64,ปลายพระยา
8107,64,ลำทับ
8108,64,เหนือคลอง
8201,65,เมืองพังงา
8202,65,เกาะยาว
8203,65,กะปง
8204,65,ตะกั่วทุ่ง
8205,65,ตะกั่วป่า
8206,65,คุระบุรี
8207,65,ทับปุด
8208,65,ท้ายเหมือง
8301,66,เมืองภูเก็ต
8302,66,กะทู้
8303,66,ถลาง
8401,67,เมืองสุราษฎร์ธานี
8402,67,กาญจนดิษฐ์
8403,67,ดอนสัก
8404,67,เกาะสมุย
8405,67,เกาะพะงัน
8406,67,ไชยา
8407,67,ท่าชนะ
8408,67,คีรีรัฐนิคม
8409,67,บ้านตาขุน
8410,67,พนม
8411,67,ท่าฉาง
8412,67,บ้านนาสาร
8413,67,บ้านนาเดิม
8414,67,เคียนซา
8415,67,เวียงสระ
8416,67,พระแสง
8417,67,พุนพิน
8418,67,ชัยบุรี
8419,67,วิภาวดี
8501,68,เมืองระนอง
8502,68,ละอุ่น
8503,68,กะเปอร์
8504,68,กระบุรี
8505,68,สุขสำราญ
8601,69,เมืองชุมพร
8602,69,ท่าแซะ
8603,69,ปะทิว
8604,69,หลังสวน
8605,69,ละแม
8606,69,พะโต๊ะ
8607,69,สวี
8608,69,ทุ่งตะโก
9001,70,เมืองสงขลา
9002,70,สทิงพระ
9003,70,จะนะ
9004,70,นาทวี
9005,70,เทพา
9006,70,สะบ้าย้อย
9007,70,ระโนด
9008,70,กระแสสินธุ์
9009,70,รัตภูมิ
9010,70,สะเดา
9011,70,หาดใหญ่
9012,70,นาหม่อม
9013,70,ควนเนียง
9014,70,บางกล่ำ
9015,70,สิงหนคร
9016,70,คลองหอยโข่ง
9077,70,ท้องถิ่นเทศบาลตำบลสำนักขาม
9101,71,เมืองสตูล
9102,71,ควนโดน
9103,71,ควนกาหลง
9104,71,ท่าแพ
9105,71,ละงู
9106,71,ทุ่งหว้า
9107,71,มะนัง
9201,72,เมืองตรัง
9202,72,กันตัง
9203,72,ย่านตาขาว
9204,72,ปะเหลียน
9205,72,สิเกา
9206,72,ห้วยยอด
9207,72,วังวิเศษ
9208,72,นาโยง
9209,72,รัษฎา
9210,72,หาดสำราญ
9301,73,เมืองพัทลุง
9302,73,กงหรา
9303,73,เขาชัยสน
9304,73,ตะโหมด
9305,73,ควนขนุน
9306,73,ปากพะยูน
9307,73,ศรีบรรพต
9308,73,ป่าบอน
9309,73,บางแก้ว
9310,73,ป่าพะยอม
9311,73,ศรีนครินทร์
9401,74,เมืองปัตตานี
9402,74,โคกโพธิ์
9403,74,หนองจิก
